date,country_code,device_code,app_id,product_id,category_id,category_name,store_product_rank_free,store_product_rank_paid,store_product_rank_grossing,store_product_rank_new_free,store_product_rank_new_paid,app_name,product_name,company_name,publisher_name,market_code
2025-03-01,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,93,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-02,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,97,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-03,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,93,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-04,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,61,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-05,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,56,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-06,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,54,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-07,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,62,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-08,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,67,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-09,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,74,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-10,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,76,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-11,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,76,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-12,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,85,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-13,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,84,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-14,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,84,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-15,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,84,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
